iter	Passed	Remaining
1385	4874	65461
1386	4877	65456
1387	4880	65449
1388	4883	65430
1389	4886	65421
1390	4888	65403
1391	4892	65404
1392	4896	65408
1393	4899	65398
1394	4903	65400
1395	4907	65405
1396	4911	65399
1397	4914	65397
1398	4918	65393
1399	4922	65401
1400	4925	65394
1401	4930	65398
1402	4933	65398
1403	4937	65392
1404	4941	65398
1405	4943	65383
1406	4947	65381
1407	4951	65377
1408	4954	65368
1409	4957	65365
1410	4961	65361
1411	4964	65353
1412	4968	65355
1413	4972	65358
1414	4976	65369
1415	4980	65367
1416	4983	65358
1417	4987	65361
1418	4992	65368
1419	4995	65358
1420	4997	65341
1421	5002	65350
1422	5005	65342
1423	5008	65333
1424	5012	65332
1425	5016	65339
1426	5019	65333
1427	5023	65328
1428	5026	65323
1429	5029	65315
1430	5033	65317
1431	5037	65320
1432	5040	65311
1433	5044	65311
1434	5048	65314
1435	5052	65313
1436	5056	65317
1437	5060	65318
1438	5064	65318
1439	5067	65310
1440	5070	65301
1441	5073	65292
1442	5077	65295
1443	5080	65288
1444	5083	65272
1445	5086	65261
1446	5089	65250
1447	5092	65244
1448	5095	65238
1449	5099	65235
1450	5103	65236
1451	5106	65236
1452	5110	65232
1453	5113	65226
1454	5117	65221
1455	5120	65218
1456	5124	65213
1457	5126	65195
1458	5129	65188
1459	5132	65171
1460	5134	65152
1461	5138	65160
1462	5142	65155
1463	5146	65165
1464	5149	65155
1465	5153	65147
1466	5156	65137
1467	5159	65132
1468	5162	65123
1469	5166	65128
1470	5169	65120
1471	5172	65105
1472	5176	65109
1473	5179	65097
1474	5182	65085
1475	5185	65076
1476	5188	65074
1477	5191	65061
1478	5194	65053
1479	5198	65056
1480	5202	65055
1481	5205	65047
1482	5210	65053
1483	5213	65045
1484	5217	65050
1485	5220	65046
1486	5224	65049
1487	5227	65039
1488	5231	65035
1489	5234	65027
1490	5238	65030
1491	5242	65030
1492	5246	65035
1493	5249	65030
1494	5253	65021
1495	5256	65017
1496	5259	65012
1497	5263	65004
1498	5266	64999
1499	5270	64997
1500	5272	64981
1501	5276	64981
1502	5279	64972
1503	5283	64974
1504	5288	64985
1505	5291	64976
1506	5295	64983
1507	5299	64982
1508	5302	64980
1509	5305	64970
1510	5308	64952
1511	5311	64943
1512	5315	64945
1513	5317	64923
1514	5320	64917
1515	5324	64924
1516	5328	64920
1517	5331	64914
1518	5335	64912
1519	5337	64896
1520	5341	64896
1521	5345	64898
1522	5348	64890
1523	5352	64886
1524	5354	64869
1525	5357	64859
1526	5361	64855
1527	5364	64847
1528	5368	64850
1529	5373	64863
1530	5375	64850
1531	5379	64847
1532	5382	64838
1533	5386	64841
1534	5390	64839
1535	5393	64838
1536	5396	64830
1537	5401	64834
1538	5405	64837
1539	5407	64822
1540	5410	64813
1541	5414	64815
1542	5417	64807
1543	5421	64809
1544	5425	64811
1545	5429	64808
1546	5433	64807
1547	5436	64798
1548	5439	64790
1549	5443	64797
1550	5447	64795
1551	5450	64784
1552	5454	64789
1553	5458	64791
1554	5461	64782
1555	5464	64778
1556	5468	64778
1557	5471	64771
1558	5474	64762
1559	5478	64760
1560	5482	64759
1561	5485	64752
1562	5489	64753
1563	5492	64745
1564	5496	64748
1565	5500	64745
1566	5503	64737
1567	5507	64736
1568	5511	64742
1569	5515	64741
1570	5518	64734
1571	5521	64728
1572	5524	64717
1573	5528	64716
1574	5532	64724
1575	5536	64721
1576	5539	64718
1577	5543	64721
1578	5547	64720
1579	5550	64714
1580	5554	64710
1581	5557	64707
1582	5562	64709
1583	5566	64712
1584	5569	64710
1585	5572	64694
1586	5576	64696
1587	5580	64705
1588	5584	64702
1589	5587	64696
1590	5590	64688
1591	5594	64688
1592	5597	64682
1593	5602	64687
1594	5605	64680
1595	5608	64675
1596	5612	64670
1597	5615	64670
1598	5619	64664
1599	5622	64654
1600	5626	64658
1601	5629	64650
